country,league,year,month,day,home,away,hp1,hp2,hp3,hp4,ht,ap1,ap2,ap3,ap4,at,url
Play-offs,NBA,2026,Apr,19,New York Knicks,Atlanta Hawks,30,27,26,30,113,24,31,19,28,102,https://www.livescore.com/en/basketball/nba/nba/new-york-knicks-vs-atlanta-hawks/1766883/
Spain,Liga ACB,2026,Feb,7,Basket Zaragoza,Bilbao Basket,13,26,23,20,82,19,19,24,22,84,https://www.livescore.com/en/basketball/spain/liga-acb/basket-zaragoza-vs-bilbao-basket/1627808/
Spain,Liga ACB,2025,Oct,26,Basquet Girona,Gran Canaria,23,24,17,21,85,23,20,16,22,81,https://www.livescore.com/en/basketball/spain/liga-acb/basquet-girona-vs-gran-canaria/1627610/
Spain,Liga ACB,2026,May,20,Iberostar Tenerife,Joventut,28,27,22,15,98,24,19,28,21,100,https://www.livescore.com/en/basketball/spain/liga-acb/iberostar-tenerife-vs-joventut/1627828/
Spain,Liga ACB,2026,Jan,17,Gran Canaria,Hiopos Lleida,4,19,9,18,50,16,13,15,24,68,https://www.livescore.com/en/basketball/spain/liga-acb/gran-canaria-vs-hiopos-lleida/1627709/
Spain,Liga ACB,2026,Feb,8,Hiopos Lleida,Manresa,19,24,27,20,90,25,29,23,22,99,https://www.livescore.com/en/basketball/spain/liga-acb/hiopos-lleida-vs-manresa/1627746/
Spain,Liga ACB,2026,Jan,11,Basquet Club Andorra,Real Madrid,21,20,17,27,85,13,27,21,29,90,https://www.livescore.com/en/basketball/spain/liga-acb/basquet-club-andorra-vs-real-madrid/1627704/
Spain,Liga ACB,2026,Apr,11,Basket Zaragoza,Hiopos Lleida,24,34,23,26,107,19,27,21,24,91,https://www.livescore.com/en/basketball/spain/liga-acb/basket-zaragoza-vs-hiopos-lleida/1627805/
Spain,Liga ACB,2025,Nov,2,Joventut,Hiopos Lleida,20,21,16,25,82,22,19,16,11,68,https://www.livescore.com/en/basketball/spain/liga-acb/joventut-vs-hiopos-lleida/1627619/
Spain,Liga ACB,2025,Nov,22,Granada,Real Madrid,29,19,31,21,100,31,25,22,33,111,https://www.livescore.com/en/basketball/spain/liga-acb/granada-vs-real-madrid/1627638/
Spain,Liga ACB,2026,Jan,18,Real Madrid,Valencia,9,34,33,18,94,24,19,17,19,79,https://www.livescore.com/en/basketball/spain/liga-acb/real-madrid-vs-valencia/1627718/
Spain,Liga ACB,2026,Mar,7,Burgos,Bilbao Basket,20,21,23,32,96,27,19,29,13,88,https://www.livescore.com/en/basketball/spain/liga-acb/burgos-vs-bilbao-basket/1627761/
Spain,Liga ACB,2025,Oct,5,Valencia,Barcelona,24,22,23,24,93,15,18,25,23,81,https://www.livescore.com/en/basketball/spain/liga-acb/valencia-vs-barcelona/1627595/
Spain,Liga ACB,2025,Oct,5,Granada,Joventut,14,18,21,22,75,22,12,29,24,87,https://www.livescore.com/en/basketball/spain/liga-acb/granada-vs-joventut/1627588/
Spain,Liga ACB,2026,Apr,25,Gran Canaria,Basquet Girona,16,31,17,36,100,24,20,23,23,90,https://www.livescore.com/en/basketball/spain/liga-acb/gran-canaria-vs-basquet-girona/1627825/
Spain,Liga ACB,2026,Apr,5,Manresa,Saski Baskonia,25,16,24,18,83,21,23,21,23,88,https://www.livescore.com/en/basketball/spain/liga-acb/manresa-vs-saski-baskonia/1627797/
Spain,Liga ACB,2026,Feb,8,Joventut,Valencia,24,23,25,18,90,18,27,22,20,87,https://www.livescore.com/en/basketball/spain/liga-acb/joventut-vs-valencia/1627752/
Spain,Liga ACB,2025,Nov,15,Basquet Girona,Granada,19,17,21,25,82,27,16,10,23,76,https://www.livescore.com/en/basketball/spain/liga-acb/basquet-girona-vs-granada/1627621/
Spain,Liga ACB,2026,Apr,18,Basquet Club Andorra,UCAM Murcia CB,22,21,23,23,89,28,10,28,29,95,https://www.livescore.com/en/basketball/spain/liga-acb/basquet-club-andorra-vs-ucam-murcia-cb/1627816/
Spain,Liga ACB,2026,May,10,Basquet Club Andorra,Manresa,29,30,28,17,104,28,22,23,21,94,https://www.livescore.com/en/basketball/spain/liga-acb/basquet-club-andorra-vs-manresa/1627820/
Spain,Liga ACB,2026,May,17,Valencia,Bilbao Basket,21,26,15,26,88,9,20,31,23,83,https://www.livescore.com/en/basketball/spain/liga-acb/valencia-vs-bilbao-basket/1627840/
Spain,Liga ACB,2026,Jan,4,Basquet Girona,Bilbao Basket,22,26,18,23,89,16,26,20,31,93,https://www.livescore.com/en/basketball/spain/liga-acb/basquet-girona-vs-bilbao-basket/1627685/
Spain,Liga ACB,2025,Nov,1,CB Breogan Lugo,Granada,38,13,20,24,95,14,22,17,21,74,https://www.livescore.com/en/basketball/spain/liga-acb/cb-breogan-lugo-vs-granada/1627634/
Spain,Liga ACB,2025,Oct,12,CB Breogan Lugo,Valencia,27,20,27,16,90,19,35,30,29,113,https://www.livescore.com/en/basketball/spain/liga-acb/cb-breogan-lugo-vs-valencia/1627587/
Spain,Liga ACB,2026,Apr,18,Bilbao Basket,Manresa,17,19,21,23,80,19,20,22,23,84,https://www.livescore.com/en/basketball/spain/liga-acb/bilbao-basket-vs-manresa/1627812/
Spain,Liga ACB,2025,Oct,18,Iberostar Tenerife,UCAM Murcia CB,26,21,27,22,96,22,10,25,23,80,https://www.livescore.com/en/basketball/spain/liga-acb/iberostar-tenerife-vs-ucam-murcia-cb/1627592/
Spain,Liga ACB,2025,Oct,4,Unicaja,Bilbao Basket,15,31,20,20,86,18,16,23,11,68,https://www.livescore.com/en/basketball/spain/liga-acb/unicaja-vs-bilbao-basket/1627577/
Spain,Liga ACB,2025,Dec,14,UCAM Murcia CB,Joventut,19,13,25,23,80,25,13,16,23,77,https://www.livescore.com/en/basketball/spain/liga-acb/ucam-murcia-cb-vs-joventut/1627650/
Spain,Liga ACB,2025,Dec,21,CB Breogan Lugo,Bilbao Basket,21,24,26,29,100,23,24,22,30,99,https://www.livescore.com/en/basketball/spain/liga-acb/cb-breogan-lugo-vs-bilbao-basket/1627677/
Spain,Liga ACB,2025,Oct,26,Real Madrid,Manresa,21,21,23,22,87,17,18,20,20,75,https://www.livescore.com/en/basketball/spain/liga-acb/real-madrid-vs-manresa/1627612/
Spain,Liga ACB,2026,Apr,4,Joventut,UCAM Murcia CB,15,15,19,18,67,18,27,23,21,89,https://www.livescore.com/en/basketball/spain/liga-acb/joventut-vs-ucam-murcia-cb/1627784/
Spain,Liga ACB,2025,Dec,28,Real Madrid,Unicaja,27,19,25,20,91,30,24,12,16,82,https://www.livescore.com/en/basketball/spain/liga-acb/real-madrid-vs-unicaja/1627678/
Spain,Liga ACB,2025,Nov,15,Gran Canaria,Joventut,9,24,25,20,78,29,20,22,21,92,https://www.livescore.com/en/basketball/spain/liga-acb/gran-canaria-vs-joventut/1627620/
Spain,Liga ACB,2026,May,26,Basket Zaragoza,Valencia,23,26,15,22,86,27,23,21,27,98,https://www.livescore.com/en/basketball/spain/liga-acb/basket-zaragoza-vs-valencia/1627842/
Spain,Liga ACB,2026,Jan,4,Valencia,Manresa,30,26,22,25,103,22,20,21,13,76,https://www.livescore.com/en/basketball/spain/liga-acb/valencia-vs-manresa/1627687/
Spain,Liga ACB,2026,Feb,1,Real Madrid,Basket Zaragoza,21,24,20,34,99,22,19,14,23,78,https://www.livescore.com/en/basketball/spain/liga-acb/real-madrid-vs-basket-zaragoza/1627725/
Spain,Liga ACB,2026,Apr,11,CB Breogan Lugo,Basquet Club Andorra,20,28,29,20,97,19,26,21,33,99,https://www.livescore.com/en/basketball/spain/liga-acb/cb-breogan-lugo-vs-basquet-club-andorra/1627800/
Spain,Liga ACB,2026,Jan,10,Manresa,CB Breogan Lugo,28,34,20,22,104,23,15,30,31,99,https://www.livescore.com/en/basketball/spain/liga-acb/manresa-vs-cb-breogan-lugo/1627699/
Spain,Liga ACB,2026,Feb,18,Gran Canaria,Bilbao Basket,30,18,20,18,97,14,17,30,25,98,https://www.livescore.com/en/basketball/spain/liga-acb/gran-canaria-vs-bilbao-basket/1627743/
Spain,Liga ACB,2026,Jan,10,Bilbao Basket,UCAM Murcia CB,18,23,23,32,96,17,23,15,27,82,https://www.livescore.com/en/basketball/spain/liga-acb/bilbao-basket-vs-ucam-murcia-cb/1627703/
Spain,Liga ACB,2025,Nov,2,Saski Baskonia,Iberostar Tenerife,18,11,34,26,89,17,23,16,23,79,https://www.livescore.com/en/basketball/spain/liga-acb/saski-baskonia-vs-iberostar-tenerife/1627627/
Spain,Liga ACB,2026,Apr,25,Valencia,Real Madrid,19,22,22,19,82,22,23,30,21,96,https://www.livescore.com/en/basketball/spain/liga-acb/valencia-vs-real-madrid/1627848/
Spain,Liga ACB,2025,Dec,6,Burgos,UCAM Murcia CB,20,26,27,15,88,28,30,28,24,110,https://www.livescore.com/en/basketball/spain/liga-acb/burgos-vs-ucam-murcia-cb/1627652/
Spain,Liga ACB,2025,Dec,28,Valencia,Basquet Club Andorra,18,14,21,31,84,16,29,12,22,79,https://www.livescore.com/en/basketball/spain/liga-acb/valencia-vs-basquet-club-andorra/1627696/
